Date,Close,,,,
05/19/2023,175.16,,,,
05/18/2023,175.05,,,,
05/17/2023,172.69,,,,
05/16/2023,172.07,,,,
05/15/2023,172.07,,,,
5/12/2023,172.57,,,,
5/11/2023,173.75,,,,
5/10/2023,173.56,,,,
5/9/2023,171.77,,,,
5/8/2023,173.5,,,,
5/5/2023,173.57,,,,
5/4/2023,165.79,,,,
5/3/2023,167.45,,,,
5/2/2023,168.54,,,,
5/1/2023,169.59,,,,
04/28/2023,169.68,,,,
04/27/2023,168.41,,,,
04/26/2023,163.76,,,,
04/25/2023,163.77,,,,
04/24/2023,165.33,,,,
04/21/2023,165.02,,,,
04/20/2023,166.65,,,,
04/19/2023,167.63,,,,
04/18/2023,166.47,,,,
04/17/2023,165.23,,,,
04/14/2023,165.21,,,,
04/13/2023,165.56,,,,
4/12/2023,160.1,,,,
4/11/2023,160.8,,,,
4/10/2023,162.03,,,,
4/6/2023,164.66,,,,
4/5/2023,163.76,,,,
4/4/2023,165.63,,,,
4/3/2023,166.17,,,,
03/31/2023,164.9,,,,
03/30/2023,162.36,,,,
03/29/2023,160.77,,,,
03/28/2023,157.65,,,,
03/27/2023,158.28,,,,
03/24/2023,160.25,,,,
03/23/2023,158.93,,,,
03/22/2023,157.83,,,,
03/21/2023,159.28,,,,
03/20/2023,157.4,,,,
03/17/2023,155,,,,
03/16/2023,155.85,,,,
03/15/2023,152.99,,,,
03/14/2023,152.59,,,,
03/13/2023,150.47,,,,
3/10/2023,148.5,,,,
3/9/2023,150.59,,,,
3/8/2023,152.87,,,,
3/7/2023,151.6,,,,
3/6/2023,153.83,,,,
3/3/2023,151.03,,,,
3/2/2023,145.91,,,,
3/1/2023,145.31,,,,
02/28/2023,147.41,,,,
02/27/2023,147.92,,,,
02/24/2023,146.71,,,,
02/23/2023,149.4,,,,
02/22/2023,148.91,,,,
02/21/2023,148.48,,,,
02/17/2023,152.55,,,,
02/16/2023,153.71,,,,
02/15/2023,155.33,,,,
02/14/2023,153.2,,,,
02/13/2023,153.85,,,,
2/10/2023,151.01,,,,
2/9/2023,150.87,,,,
2/8/2023,151.92,,,,
2/7/2023,154.65,,,,
2/6/2023,151.73,,,,
2/3/2023,154.5,,,,
2/2/2023,150.82,,,,
2/1/2023,145.43,,,,
01/31/2023,144.29,,,,
01/30/2023,143,,,,
01/27/2023,145.93,,,,
01/26/2023,143.96,,,,
01/25/2023,141.86,,,,
01/24/2023,142.53,,,,
01/23/2023,141.11,,,,
01/20/2023,137.87,,,,
01/19/2023,135.27,,,,
01/18/2023,135.21,,,,
01/17/2023,135.94,,,,
01/13/2023,134.76,,,,
1/12/2023,133.41,,,,
1/11/2023,133.49,,,,
1/10/2023,130.73,,,,
1/9/2023,130.15,,,,
1/6/2023,129.62,,,,
1/5/2023,125.02,,,,
1/4/2023,126.36,,,,
1/3/2023,125.07,,,,
12/30/2022,129.93,,,,
12/29/2022,129.61,,,,
12/28/2022,126.04,,,,
12/27/2022,130.03,,,,
12/23/2022,131.86,,,,
12/22/2022,132.23,,,,
12/21/2022,135.45,,,,
12/20/2022,132.3,,,,
12/19/2022,132.37,,,,
12/16/2022,134.51,,,,
12/15/2022,136.5,,,,
12/14/2022,143.21,,,,
12/13/2022,145.47,,,,
12/12/2022,144.49,,,,
12/9/2022,142.16,,,,
12/8/2022,142.65,,,,
12/7/2022,140.94,,,,
12/6/2022,142.91,,,,
12/5/2022,146.63,,,,
12/2/2022,147.81,,,,
12/1/2022,148.31,,,,
11/30/2022,148.03,,,,
11/29/2022,141.17,,,,
11/28/2022,144.22,,,,
11/25/2022,148.11,,,,
11/23/2022,151.07,,,,
11/22/2022,150.18,,,,
11/21/2022,148.01,,,,
11/18/2022,151.29,,,,
11/17/2022,150.72,,,,
11/16/2022,148.79,,,,
11/15/2022,150.04,,,,
11/14/2022,148.28,,,,
11/11/2022,149.7,,,,
11/10/2022,146.87,,,,
11/9/2022,134.87,,,,
11/8/2022,139.5,,,,
11/7/2022,138.92,,,,
11/4/2022,138.38,,,,
11/3/2022,138.88,,,,
11/2/2022,145.03,,,,
11/1/2022,150.65,,,,
10/31/2022,153.34,,,,
10/28/2022,155.74,,,,
10/27/2022,144.8,,,,
10/26/2022,149.35,,,,
10/25/2022,152.34,,,,
10/24/2022,149.45,,,,
10/21/2022,147.27,,,,
10/20/2022,143.39,,,,
10/19/2022,143.86,,,,
10/18/2022,143.75,,,,
10/17/2022,142.41,,,,
10/14/2022,138.38,,,,
10/13/2022,142.99,,,,
10/12/2022,138.34,,,,
10/11/2022,138.98,,,,
10/10/2022,140.42,,,,
10/7/2022,140.09,,,,
10/6/2022,145.43,,,,
10/5/2022,146.4,,,,
10/4/2022,146.1,,,,
10/3/2022,142.45,,,,
09/30/2022,138.2,,,,
09/29/2022,142.48,,,,
09/28/2022,149.84,,,,
09/27/2022,151.76,,,,
09/26/2022,150.77,,,,
09/23/2022,150.43,,,,
09/22/2022,152.74,,,,
09/21/2022,153.72,,,,
09/20/2022,156.9,,,,
09/19/2022,154.48,,,,
09/16/2022,150.7,,,,
09/15/2022,152.37,,,,
09/14/2022,155.31,,,,
09/13/2022,153.84,,,,
9/12/2022,163.43,,,,
9/9/2022,157.37,,,,
9/8/2022,154.46,,,,
9/7/2022,155.96,,,,
9/6/2022,154.53,,,,
9/2/2022,155.81,,,,
9/1/2022,157.96,,,,
08/31/2022,157.22,,,,
08/30/2022,158.91,,,,
08/29/2022,161.38,,,,
08/26/2022,163.62,,,,
08/25/2022,170.03,,,,
08/24/2022,167.53,,,,
08/23/2022,167.23,,,,
08/22/2022,167.57,,,,
08/19/2022,171.52,,,,
08/18/2022,174.15,,,,
08/17/2022,174.55,,,,
08/16/2022,173.03,,,,
08/15/2022,173.19,,,,
8/12/2022,172.1,,,,
8/11/2022,168.49,,,,
8/10/2022,169.24,,,,
8/9/2022,164.92,,,,
8/8/2022,164.87,,,,
8/5/2022,165.35,,,,
8/4/2022,165.81,,,,
8/3/2022,166.13,,,,
8/2/2022,160.01,,,,
8/1/2022,161.51,,,,
07/29/2022,162.51,,,,
07/28/2022,157.35,,,,
07/27/2022,156.79,,,,
07/26/2022,151.6,,,,
07/25/2022,152.95,,,,
07/22/2022,154.09,,,,
07/21/2022,155.35,,,,
07/20/2022,153.04,,,,
07/19/2022,151,,,,
07/18/2022,147.07,,,,
07/15/2022,150.17,,,,
07/14/2022,148.47,,,,
07/13/2022,145.49,,,,
7/12/2022,145.86,,,,
7/11/2022,144.87,,,,
7/8/2022,147.04,,,,
7/7/2022,146.35,,,,
7/6/2022,142.92,,,,
7/5/2022,141.56,,,,
7/1/2022,138.93,,,,
06/30/2022,136.72,,,,
06/29/2022,139.23,,,,
06/28/2022,137.44,,,,
06/27/2022,141.66,,,,
06/24/2022,141.66,,,,
06/23/2022,138.27,,,,
06/22/2022,135.35,,,,
06/21/2022,135.87,,,,
06/17/2022,131.56,,,,
06/16/2022,130.06,,,,
06/15/2022,135.43,,,,
06/14/2022,132.76,,,,
06/13/2022,131.88,,,,
6/10/2022,137.13,,,,
6/9/2022,142.64,,,,
6/8/2022,147.96,,,,
6/7/2022,148.71,,,,
6/6/2022,146.14,,,,
6/3/2022,145.38,,,,
6/2/2022,151.21,,,,
6/1/2022,148.71,,,,
05/31/2022,148.84,,,,
05/27/2022,149.64,,,,
05/26/2022,143.78,,,,
05/25/2022,140.52,,,,
05/24/2022,140.36,,,,
05/23/2022,143.11,,,,
05/20/2022,137.59,,,,
05/19/2022,137.35,,,,
